                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                0.03844,                0.98475,                      1,                0.32899,               0.003169,               0.003169,               0.003169
                     72,                0.04207,                0.98575,                      1,                0.32879,                0.00307,                0.00307,                0.00307
                     73,                0.03493,                0.98475,                      1,                0.32804,               0.002971,               0.002971,               0.002971
                     74,                0.03629,                0.98575,                      1,                 0.3277,               0.002872,               0.002872,               0.002872
                     75,                0.03772,                0.98675,                      1,                0.32746,               0.002773,               0.002773,               0.002773
                     76,                0.03721,                0.98475,                      1,                0.32795,               0.002674,               0.002674,               0.002674
                     77,                0.03637,                0.98375,                      1,                0.32906,               0.002575,               0.002575,               0.002575
                     78,                0.03281,                0.98475,                      1,                0.32963,               0.002476,               0.002476,               0.002476
                     79,                 0.0317,                 0.9855,                      1,                0.32777,               0.002377,               0.002377,               0.002377
                     80,                0.03418,                  0.986,                      1,                0.32759,               0.002278,               0.002278,               0.002278
                     81,                0.03191,                 0.9845,                      1,                0.32719,               0.002179,               0.002179,               0.002179
                     82,                0.03009,                  0.984,                      1,                0.32855,                0.00208,                0.00208,                0.00208
                     83,                0.02854,                  0.984,                      1,                0.32828,               0.001981,               0.001981,               0.001981
                     84,                0.03367,                0.98525,                      1,                0.32848,               0.001882,               0.001882,               0.001882
                     85,                0.03128,                  0.986,                      1,                0.32699,               0.001783,               0.001783,               0.001783
                     86,                0.02759,                0.98625,                      1,                0.32713,               0.001684,               0.001684,               0.001684
                     87,                0.02795,                  0.985,                      1,                0.32708,               0.001585,               0.001585,               0.001585
                     88,                0.02612,                0.98525,                      1,                0.32779,               0.001486,               0.001486,               0.001486
                     89,                0.02726,                  0.986,                      1,                 0.3275,               0.001387,               0.001387,               0.001387
                     90,                0.02412,                0.98625,                      1,                0.32757,               0.001288,               0.001288,               0.001288
                     91,                0.02312,                0.98575,                      1,                0.32699,               0.001288,               0.001288,               0.001288
                     92,                0.02324,                0.98575,                      1,                0.32817,                0.00109,                0.00109,                0.00109
                     93,                 0.0223,                  0.986,                      1,                0.32717,               0.000991,               0.000991,               0.000991
                     94,                0.02119,                 0.9865,                      1,                0.32733,               0.000892,               0.000892,               0.000892
                     95,                0.02098,                 0.9865,                      1,                0.32715,               0.000793,               0.000793,               0.000793
                     96,                0.02069,                0.98675,                      1,                0.32699,               0.000694,               0.000694,               0.000694
                     97,                0.01982,                0.98625,                      1,                0.32697,               0.000595,               0.000595,               0.000595
                     98,                0.02051,                0.98625,                      1,                0.32704,               0.000496,               0.000496,               0.000496
                     99,                0.01905,                0.98525,                      1,                0.32664,               0.000397,               0.000397,               0.000397
                    100,                0.01835,                0.98525,                      1,                0.32764,               0.000298,               0.000298,               0.000298
